prop_budget,policy,tau,f,seed,N_B,N_labels,mean_width,coverage
0.025,unif,nan,zero,0,29,29.25904083251953,0.39069998264312744,0.9367088607594937
0.025,unif,nan,mean,0,29,29.25904083251953,0.364358127117157,0.9489150090415913
0.025,unif,nan,zero,1,29,28.879295349121094,0.3871367275714874,0.9267631103074141
0.025,unif,nan,mean,1,29,28.879295349121094,0.36156025528907776,0.9507233273056058
0.025,unif,nan,zero,2,29,29.170886993408203,0.38923609256744385,0.9222423146473779
0.025,unif,nan,mean,2,29,29.170886993408203,0.3639327585697174,0.9462025316455697
0.025,unif,nan,zero,3,29,28.950271606445312,0.3896774649620056,0.9263110307414105
0.025,unif,nan,mean,3,29,28.950271606445312,0.3621498644351959,0.9484629294755877
0.025,unif,nan,zero,4,29,28.880651473999023,0.39059922099113464,0.9308318264014467
0.025,unif,nan,mean,4,29,28.880651473999023,0.3637821078300476,0.953887884267631
0.025,unif,nan,zero,5,29,28.901899337768555,0.3877897262573242,0.9290235081374322
0.025,unif,nan,mean,5,29,28.901899337768555,0.36212971806526184,0.955244122965642
0.025,unif,nan,zero,6,29,29.08815574645996,0.3888349235057831,0.9222423146473779
0.025,unif,nan,mean,6,29,29.08815574645996,0.3622698485851288,0.9475587703435805
0.025,unif,nan,zero,7,29,29.115280151367188,0.39137282967567444,0.9281193490054249
0.025,unif,nan,mean,7,29,29.115280151367188,0.36440718173980713,0.9462025316455697
0.025,unif,nan,zero,8,29,28.873868942260742,0.3873676657676697,0.9235985533453888
0.025,unif,nan,mean,8,29,28.873868942260742,0.3627801537513733,0.945750452079566
0.025,unif,nan,zero,9,29,28.910036087036133,0.39061978459358215,0.9376130198915009
0.025,unif,nan,mean,9,29,28.910036087036133,0.3644258379936218,0.9534358047016275
0.025,unif,nan,zero,10,29,28.998191833496094,0.3869398236274719,0.9226943942133815
0.025,unif,nan,mean,10,29,28.998191833496094,0.36350569128990173,0.9462025316455697
0.025,unif,nan,zero,11,29,29.167720794677734,0.38992124795913696,0.9371609403254972
0.025,unif,nan,mean,11,29,29.167720794677734,0.3640857934951782,0.9502712477396021
0.025,unif,nan,zero,12,29,29.169076919555664,0.39164063334465027,0.9326401446654611
0.025,unif,nan,mean,12,29,29.169076919555664,0.36405709385871887,0.9520795660036167
0.025,unif,nan,zero,13,29,29.059223175048828,0.3917497396469116,0.9285714285714286
0.025,unif,nan,mean,13,29,29.059223175048828,0.3634428083896637,0.9462025316455697
0.025,unif,nan,zero,14,29,29.165008544921875,0.3915160894393921,0.9312839059674503
0.025,unif,nan,mean,14,29,29.165008544921875,0.36449697613716125,0.9507233273056058
0.025,unif,nan,zero,15,29,29.01039695739746,0.3902644217014313,0.9362567811934901
0.025,unif,nan,mean,15,29,29.01039695739746,0.3641836941242218,0.9475587703435805
0.025,unif,nan,zero,16,29,29.114376068115234,0.3898143768310547,0.918625678119349
0.025,unif,nan,mean,16,29,29.114376068115234,0.364358127117157,0.9525316455696202
0.025,unif,nan,zero,17,29,28.858047485351562,0.3884652853012085,0.9240506329113924
0.025,unif,nan,mean,17,29,28.858047485351562,0.3630563020706177,0.9547920433996383
0.025,unif,nan,zero,18,29,28.872060775756836,0.3913643956184387,0.933996383363472
0.025,unif,nan,mean,18,29,28.872060775756836,0.3618082106113434,0.9493670886075949
0.025,unif,nan,zero,19,29,29.01898765563965,0.3889138698577881,0.924502712477396
0.025,unif,nan,mean,19,29,29.01898765563965,0.362626850605011,0.9484629294755877
0.025,unif,nan,zero,20,29,28.93309211730957,0.38795822858810425,0.933996383363472
0.025,unif,nan,mean,20,29,28.93309211730957,0.36414071917533875,0.9511754068716094
0.025,unif,nan,zero,21,29,29.042495727539062,0.3906290829181671,0.9254068716094033
0.025,unif,nan,mean,21,29,29.042495727539062,0.36260032653808594,0.955244122965642
0.025,unif,nan,zero,22,29,28.843128204345703,0.3869889974594116,0.9199819168173599
0.025,unif,nan,mean,22,29,28.843128204345703,0.36102554202079773,0.951627486437613
0.025,unif,nan,zero,23,29,28.81826400756836,0.38655853271484375,0.9190777576853526
0.025,unif,nan,mean,23,29,28.81826400756836,0.3612193465232849,0.9448462929475587
0.025,unif,nan,zero,24,29,28.798824310302734,0.38689565658569336,0.9226943942133815
0.025,unif,nan,mean,24,29,28.798824310302734,0.3618724048137665,0.9493670886075949
0.025,unif,nan,zero,25,29,28.574140548706055,0.38690048456192017,0.9181735985533453
0.025,unif,nan,mean,25,29,28.574140548706055,0.3624676764011383,0.9498191681735986
0.025,unif,nan,zero,26,29,29.146020889282227,0.3904500901699066,0.9371609403254972
0.025,unif,nan,mean,26,29,29.146020889282227,0.3640618920326233,0.953887884267631
0.025,unif,nan,zero,27,29,28.873416900634766,0.38986334204673767,0.924502712477396
0.025,unif,nan,mean,27,29,28.873416900634766,0.36300238966941833,0.9430379746835443
0.025,unif,nan,zero,28,29,29.043399810791016,0.3886210024356842,0.9299276672694394
0.025,unif,nan,mean,28,29,29.043399810791016,0.3637581765651703,0.9498191681735986
0.025,unif,nan,zero,29,29,29.031192779541016,0.387503445148468,0.9172694394213382
0.025,unif,nan,mean,29,29,29.031192779541016,0.3612957298755646,0.9489150090415913
0.025,unif,nan,zero,30,29,29.019439697265625,0.3891177773475647,0.9258589511754068
0.025,unif,nan,mean,30,29,29.019439697265625,0.36254093050956726,0.939873417721519
0.025,unif,nan,zero,31,29,28.962928771972656,0.38874250650405884,0.9226943942133815
0.025,unif,nan,mean,31,29,28.962928771972656,0.3641008734703064,0.945750452079566
0.025,unif,nan,zero,32,29,28.991411209106445,0.391520619392395,0.9213381555153707
0.025,unif,nan,mean,32,29,28.991411209106445,0.36347347497940063,0.9371609403254972
0.025,unif,nan,zero,33,29,28.93173599243164,0.3884141445159912,0.9222423146473779
0.025,unif,nan,mean,33,29,28.93173599243164,0.36170387268066406,0.9416817359855335
0.025,unif,nan,zero,34,29,28.9665470123291,0.3884831368923187,0.9235985533453888
0.025,unif,nan,mean,34,29,28.9665470123291,0.3611302375793457,0.9425858951175407
0.025,unif,nan,zero,35,29,29.11618423461914,0.39003658294677734,0.9317359855334539
0.025,unif,nan,mean,35,29,29.11618423461914,0.3645467162132263,0.9412296564195298
