prop_budget,seed,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
0.025,49.5,1.3276901454251868,0.0011257355006884099,0.9332368896925858,0.0005250480663311865,0.33798954129219055,5.99632583782297e-05
0.05,49.5,1.3061279340746048,0.0007376446153882835,0.9418399638336347,0.0004462135636515388,0.23809317827224727,3.0417134979985153e-05
0.075,49.5,1.2788818371695632,0.0005391542750289463,0.9452079566003616,0.00043104095354682943,0.1937917713820934,1.9318706793327624e-05
0.1,49.5,1.2488022152304032,0.0005061577180679405,0.9462793851717902,0.00047761788454734515,0.16748046100139613,1.396512184401552e-05
0.125,49.5,1.2178361191285811,0.00045602598914777783,0.9470117540687162,0.0005357289771835155,0.14954017505049702,1.2240087888792977e-05
0.15,49.5,1.1866777583431978,0.00039591193662649103,0.9477079566003616,0.0005618269721943728,0.13671912655234333,1.0540937074532769e-05
0.175,49.5,1.1541427503320147,0.00032213868493830467,0.9475,0.0005407289981775042,0.12638042673468586,8.926553174312921e-06
0.2,49.5,1.120994676919735,0.00028920176473667714,0.9484177215189874,0.0005329164776231788,0.11807119682431218,7.540802910136145e-06
0.225,49.5,1.0873345349530001,0.0002494970818882556,0.9484538878842677,0.0005034546856109969,0.1112000079452991,6.217563039821718e-06
0.25,49.5,1.0534154044182515,0.00023697784950784382,0.9483182640144665,0.0004999530037129502,0.10539913021028038,5.550919297800971e-06
