dataset,n_full_obs,mcar_obs_prob,K,lmbda,split,train_loss,val_loss,train_acc,val_acc
mmlu-pro,,1.0,8,10.0,0,0.6713129281997681,0.6713694334030151,0.7854621585105575,0.7847179252990776
mmlu-pro,,1.0,8,1.0,0,0.323005199432373,0.3263817429542541,0.8648072321747066,0.863218071648952
mmlu-pro,,1.0,8,0.1,0,0.2931440472602844,0.2991502285003662,0.8708151536268639,0.8686912750574242
mmlu-pro,,1.0,8,0.01,0,0.2919829189777374,0.2987554967403412,0.8709598591376421,0.8686687235518997
mmlu-pro,,1.0,8,0.001,0,0.2919034957885742,0.2987851202487945,0.8709408313026209,0.8686790596585984
mmlu-pro,,1.0,8,0.0001,0,0.2918941080570221,0.2987870573997497,0.8709451184382893,0.8686377152318037
mmlu-pro,,1.0,8,1e-05,0,0.2918931841850281,0.2987872660160064,0.8709460580844631,0.868637010497256
mmlu-pro,,1.0,16,10.0,0,0.6505883932113647,0.65069979429245,0.7907307546075256,0.790027160469466
mmlu-pro,,1.0,16,1.0,0,0.2790720462799072,0.2857445478439331,0.883177725969342,0.8798906815769704
mmlu-pro,,1.0,16,0.1,0,0.249701976776123,0.2614350616931915,0.8905510707679246,0.8860183484686823
mmlu-pro,,1.0,16,0.01,0,0.2471832931041717,0.2604688704013824,0.8910973575622665,0.8864644454373372
mmlu-pro,,1.0,16,0.001,0,0.2470002919435501,0.2605292201042175,0.8911362941505968,0.8865067295101954
mmlu-pro,,1.0,16,0.0001,0,0.2469851076602935,0.2605398297309875,0.8911360005111675,0.8865013265453302
mmlu-pro,,1.0,16,1e-05,0,0.2469836473464965,0.2605409324169159,0.8911364116063686,0.8864989774301714
mmlu-pro,,1.0,32,10.0,0,0.6131560802459717,0.6133698225021362,0.7954269300009408,0.7946520983940979
mmlu-pro,,1.0,32,1.0,0,0.2371602356433868,0.2503647804260254,0.901663385148164,0.8951315058157044
mmlu-pro,,1.0,32,0.1,0,0.2071508467197418,0.2306003123521804,0.9100216553206348,0.9011555767289136
mmlu-pro,,1.0,32,0.01,0,0.2039686888456344,0.2312231957912445,0.9107749579126606,0.9015159309942724
mmlu-pro,,1.0,32,0.001,0,0.2038490623235702,0.2316970825195312,0.910790285890872,0.9014527397965008
mmlu-pro,,1.0,32,0.0001,0,0.2038439065217971,0.2317534834146499,0.9107872320408068,0.9014435782473816
mmlu-pro,,1.0,32,1e-05,0,0.2038434594869613,0.2317592054605484,0.9107874669523504,0.901442873512834
mmlu-pro,,1.0,64,10.0,0,0.5515999794006348,0.5519847273826599,0.8071784386909648,0.806509726981138
mmlu-pro,,1.0,64,1.0,0,0.1942521035671234,0.222793310880661,0.921372992196356,0.907326937162579
mmlu-pro,,1.0,64,0.1,0,0.1613861918449401,0.2176724672317505,0.9310774229686876,0.9107968151636324
mmlu-pro,,1.0,64,0.01,0,0.1576855778694152,0.2263105809688568,0.9318767682232336,0.9102116505775768
mmlu-pro,,1.0,64,0.001,0,0.1578552722930908,0.2280898243188858,0.931716676006358,0.909914017686958
mmlu-pro,,1.0,64,0.0001,0,0.157887652516365,0.2282809019088745,0.9316969434367064,0.9098841839244411
mmlu-pro,,1.0,64,1e-05,0,0.1578910648822784,0.2283001542091369,0.9316959450626467,0.9098818348092824
mmlu-pro,,1.0,8,10.0,1,0.6713522672653198,0.671368420124054,0.7851162512627964,0.784917600087575
mmlu-pro,,1.0,8,1.0,1,0.3218768537044525,0.3249488472938537,0.8650352138276451,0.8633531457705826
mmlu-pro,,1.0,8,0.1,1,0.2929708063602447,0.2984940111637115,0.8708300117819885,0.8686886910307494
mmlu-pro,,1.0,8,0.01,1,0.2913066744804382,0.2974567711353302,0.8711094390629472,0.8690058215771865
mmlu-pro,,1.0,8,0.001,1,0.29118213057518,0.2974234223365783,0.8711252368642457,0.8690443470657907
mmlu-pro,,1.0,8,0.0001,1,0.2911708652973175,0.2974218130111694,0.8711267050613923,0.8690356553397032
mmlu-pro,,1.0,8,1e-05,1,0.2911697328090668,0.2974216341972351,0.8711284668979684,0.8690344807821238
mmlu-pro,,1.0,16,10.0,1,0.6505308747291565,0.6505772471427917,0.790146177231598,0.7899496396692258
mmlu-pro,,1.0,16,1.0,1,0.2790951132774353,0.2854326367378235,0.8832921278910123,0.8800104864500689
mmlu-pro,,1.0,16,0.1,1,0.2497482001781463,0.2607690393924713,0.8904466525868517,0.8861663427236862
mmlu-pro,,1.0,16,0.01,1,0.2472906112670898,0.2598354518413543,0.8909908251773024,0.8867268416005744
mmlu-pro,,1.0,16,0.001,1,0.2471162229776382,0.2598991096019745,0.8910316410579805,0.8867695954964644
mmlu-pro,,1.0,16,0.0001,1,0.2471013963222503,0.2599093317985534,0.8910298792214045,0.8867698304079802
mmlu-pro,,1.0,16,1e-05,1,0.2470999509096145,0.2599103450775146,0.8910291744867741,0.8867698304079802
mmlu-pro,,1.0,32,10.0,1,0.613196611404419,0.6132984161376953,0.7953032490733033,0.7950545018207992
mmlu-pro,,1.0,32,1.0,1,0.2372167259454727,0.2500219047069549,0.9016489380882404,0.8951202300629422
mmlu-pro,,1.0,32,0.1,1,0.2072627246379852,0.2299218475818634,0.9099455439805504,0.9013322301888548
mmlu-pro,,1.0,32,0.01,1,0.2038662731647491,0.2303385734558105,0.9107690851240738,0.9018173224691456
mmlu-pro,,1.0,32,0.001,1,0.2037163078784942,0.2307550758123397,0.9107791275925572,0.9018217857879472
mmlu-pro,,1.0,32,0.0001,1,0.2037082910537719,0.2308054268360138,0.9107713167837368,0.9018093354776056
mmlu-pro,,1.0,32,1e-05,1,0.2037075906991958,0.2308105677366256,0.910769026396188,0.901804872158804
mmlu-pro,,1.0,64,10.0,1,0.551662027835846,0.5519009232521057,0.8068775170037784,0.8064965719362488
mmlu-pro,,1.0,64,1.0,1,0.1944465935230255,0.2225319296121597,0.921252600030327,0.907519329694084
mmlu-pro,,1.0,64,0.1,1,0.1614040434360504,0.2171499133110046,0.9311076678299096,0.9108238299879584
mmlu-pro,,1.0,64,0.01,1,0.1576127856969833,0.2257960587739944,0.9319603967327094,0.9102318529679424
mmlu-pro,,1.0,64,0.001,1,0.1577688008546829,0.2275433987379074,0.9318336032271208,0.9099504289719192
mmlu-pro,,1.0,64,0.0001,1,0.1578000634908676,0.2277315557003021,0.931814869031529,0.9099043863148067
mmlu-pro,,1.0,64,1e-05,1,0.1578033566474914,0.2277505248785019,0.931813988113241,0.909904151403291
mmlu-pro,,1.0,8,10.0,2,0.6713430881500244,0.6713565587997437,0.78516793180236,0.7850164978357602
mmlu-pro,,1.0,8,1.0,2,0.3231379687786102,0.3262116312980652,0.8645435439671603,0.8631201135468303
mmlu-pro,,1.0,8,0.1,2,0.2929971218109131,0.298650860786438,0.870828895952157,0.8688235302408642
mmlu-pro,,1.0,8,0.01,2,0.2914735972881317,0.2978030443191528,0.8712008196533575,0.8689494428133755
mmlu-pro,,1.0,8,0.001,2,0.2914144098758697,0.2978652119636535,0.8711453218012124,0.8688730965707147
mmlu-pro,,1.0,8,0.0001,2,0.2914145886898041,0.2978778481483459,0.8711343396865552,0.8688552432955079
mmlu-pro,,1.0,8,1e-05,2,0.2914146482944488,0.2978790998458862,0.8711319318432346,0.8688498403306426
mmlu-pro,,1.0,16,10.0,2,0.6503135561943054,0.6503472328186035,0.7906734949188046,0.7905930623112193
mmlu-pro,,1.0,16,1.0,2,0.2793146073818207,0.2855353653430938,0.8831639836440489,0.8801735150420891
mmlu-pro,,1.0,16,0.1,2,0.2497342228889465,0.2608220279216766,0.890479422747166,0.8861146621901929
mmlu-pro,,1.0,16,0.01,2,0.2473180443048477,0.2598763406276703,0.8910610050009143,0.886669053367668
mmlu-pro,,1.0,16,0.001,2,0.2471537739038467,0.2599465548992157,0.8910894292976744,0.8866878462889384
mmlu-pro,,1.0,16,0.0001,2,0.2471400946378708,0.2599576711654663,0.8910857294408647,0.8866833829701366
mmlu-pro,,1.0,16,1e-05,2,0.2471387386322021,0.2599588334560394,0.8910852596177777,0.8866817385895255
mmlu-pro,,1.0,32,10.0,2,0.6133811473846436,0.6134642362594604,0.7950355086416322,0.7948764388917626
mmlu-pro,,1.0,32,1.0,2,0.2372829169034958,0.2502475082874298,0.901652696672936,0.89505821342275
mmlu-pro,,1.0,32,0.1,2,0.2071122527122497,0.2302854806184768,0.9100183665590262,0.9010771162826098
mmlu-pro,,1.0,32,0.01,2,0.2038118094205856,0.2307999730110168,0.9107990363458665,0.901524387808844
mmlu-pro,,1.0,32,0.001,2,0.2036914378404617,0.231256365776062,0.9108088439028064,0.9014755262135412
mmlu-pro,,1.0,32,0.0001,2,0.203686386346817,0.2313112765550613,0.9108087264470346,0.9014656599298744
mmlu-pro,,1.0,32,1e-05,2,0.2036859691143036,0.231316864490509,0.910809842276866,0.9014644853722948
mmlu-pro,,1.0,64,10.0,2,0.5515115857124329,0.5517181754112244,0.8070714952107997,0.8068045409335666
mmlu-pro,,1.0,64,1.0,2,0.1943206489086151,0.2224920690059662,0.9213692923395465,0.9073518377832622
mmlu-pro,,1.0,64,0.1,2,0.1614557653665542,0.2172322571277618,0.9310886399948884,0.9106438877667948
mmlu-pro,,1.0,64,0.01,2,0.1576636433601379,0.2256668955087661,0.9319252774569604,0.9103053802724128
mmlu-pro,,1.0,64,0.001,2,0.1578217446804046,0.2273972034454345,0.9317214916929992,0.909995297071452
mmlu-pro,,1.0,64,0.0001,2,0.157852753996849,0.2275837361812591,0.9316981767223098,0.909946905299181
mmlu-pro,,1.0,64,1e-05,2,0.1578560173511505,0.2276025414466858,0.9316960037905326,0.9099417372458316
mmlu-pro,,1.0,8,10.0,3,0.6713330149650574,0.6713342666625977,0.7852983790458445,0.7853561294654047
mmlu-pro,,1.0,8,1.0,3,0.3227388858795166,0.3254801630973816,0.864814463643829,0.8634841943273084
mmlu-pro,,1.0,8,0.1,3,0.2932750880718231,0.2987097799777984,0.8708511026776566,0.8688108142011561
mmlu-pro,,1.0,8,0.01,3,0.2916841506958008,0.297789067029953,0.8711461515589287,0.8692324804712138
mmlu-pro,,1.0,8,0.001,3,0.2915161550045013,0.2977238893508911,0.871168057059071,0.869199592851265
mmlu-pro,,1.0,8,0.0001,3,0.2915013432502746,0.2977198660373688,0.8711725791060172,0.8692078147562522
mmlu-pro,,1.0,8,1e-05,3,0.2914998531341553,0.2977194786071777,0.8711714045483688,0.869210633695105
mmlu-pro,,1.0,16,10.0,3,0.650640070438385,0.6506521701812744,0.7903633652650534,0.7903653838067467
mmlu-pro,,1.0,16,1.0,3,0.2790506780147552,0.2850874960422516,0.8831857785499581,0.8802218786771002
mmlu-pro,,1.0,16,0.1,3,0.2497407644987106,0.2607561647891998,0.8905005712167483,0.8863380363412898
mmlu-pro,,1.0,16,0.01,3,0.2473628520965576,0.2598929703235626,0.8910664730917358,0.8867784955370325
mmlu-pro,,1.0,16,0.001,3,0.2472048997879028,0.2599595487117767,0.8910801566883394,0.886806215102418
