dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,seed,N_B,N_labels,mean_width,coverage
mmlu-pro,0.0,1e-05,0.025,0.05,0,300,286.8630676269531,0.1433728635311126,0.9602349751468596
mmlu-pro,0.0,1e-05,0.025,0.05,1,300,287.3244323730469,0.1436754763126373,0.9570718481699052
mmlu-pro,0.0,1e-05,0.025,0.05,2,300,286.7677307128906,0.1427451223134994,0.9543605964753727
mmlu-pro,0.0,1e-05,0.025,0.05,3,300,287.08990478515625,0.142760619521141,0.9570718481699052
mmlu-pro,0.0,1e-05,0.025,0.05,4,300,287.0867614746094,0.1437080949544906,0.9552643470402168
mmlu-pro,0.0,1e-05,0.025,0.05,5,300,287.0519714355469,0.1440541595220565,0.9579755987347492
mmlu-pro,0.0,1e-05,0.025,0.05,6,300,287.2178039550781,0.1441048234701156,0.9579755987347492
mmlu-pro,0.0,1e-05,0.025,0.05,7,300,287.0935363769531,0.1431633383035659,0.9534568459105288
mmlu-pro,0.0,1e-05,0.025,0.05,8,300,286.7944030761719,0.1436574459075927,0.9516493447808404
mmlu-pro,0.0,1e-05,0.025,0.05,9,300,286.80975341796875,0.141600877046585,0.9543605964753727
mmlu-pro,0.0,1e-05,0.025,0.05,10,300,287.087646484375,0.1428891718387603,0.94713059195662
mmlu-pro,0.0,1e-05,0.025,0.05,11,300,287.12469482421875,0.1438224911689758,0.9624943515589698
mmlu-pro,0.0,1e-05,0.025,0.05,12,300,286.9728698730469,0.1432286947965622,0.9579755987347492
mmlu-pro,0.0,1e-05,0.025,0.05,13,300,286.93084716796875,0.1421026885509491,0.9525530953456848
mmlu-pro,0.0,1e-05,0.025,0.05,14,300,287.29779052734375,0.1421300172805786,0.9498418436511524
mmlu-pro,0.0,1e-05,0.025,0.05,15,300,287.0777282714844,0.1430670768022537,0.9507455942159964
mmlu-pro,0.0,1e-05,0.025,0.05,16,300,286.7857971191406,0.1433027386665344,0.9570718481699052
mmlu-pro,0.0,1e-05,0.025,0.05,17,300,286.6850280761719,0.1433894783258438,0.9502937189335744
mmlu-pro,0.0,1e-05,0.025,0.05,18,300,286.6086730957031,0.1430640965700149,0.9588793492995934
mmlu-pro,0.0,1e-05,0.025,0.05,19,300,287.24896240234375,0.1437651515007019,0.9606868504292816
mmlu-pro,0.0,1e-05,0.025,0.05,20,300,287.0072326660156,0.1433762162923813,0.9615906009941256
mmlu-pro,0.0,1e-05,0.025,0.05,21,300,287.045166015625,0.1416218876838684,0.9593312245820154
mmlu-pro,0.0,1e-05,0.025,0.05,22,300,286.92724609375,0.1432000547647476,0.9602349751468596
mmlu-pro,0.0,1e-05,0.025,0.05,23,300,287.0469970703125,0.1435852944850921,0.9530049706281066
mmlu-pro,0.0,1e-05,0.025,0.05,24,300,287.0225830078125,0.1446412503719329,0.946678716674198
mmlu-pro,0.0,1e-05,0.025,0.05,25,300,286.4468994140625,0.1442552804946899,0.9534568459105288
mmlu-pro,0.0,1e-05,0.025,0.05,26,300,286.96746826171875,0.1445031464099884,0.956168097605061
mmlu-pro,0.0,1e-05,0.025,0.05,27,300,287.4496154785156,0.1426330208778381,0.9575237234523272
mmlu-pro,0.0,1e-05,0.025,0.05,28,300,286.7740478515625,0.1439773887395858,0.9588793492995934
mmlu-pro,0.0,1e-05,0.025,0.05,29,300,287.31268310546875,0.1428643763065338,0.9584274740171712
mmlu-pro,0.0,1e-05,0.025,0.05,30,300,286.89019775390625,0.1439486891031265,0.9597830998644374
mmlu-pro,0.0,1e-05,0.025,0.05,31,300,286.8450012207031,0.1427765637636184,0.962946226841392
mmlu-pro,0.0,1e-05,0.025,0.05,32,300,287.17486572265625,0.1428746730089187,0.9566199728874832
mmlu-pro,0.0,1e-05,0.025,0.05,33,300,287.2236633300781,0.1430242210626602,0.956168097605061
mmlu-pro,0.0,1e-05,0.025,0.05,34,300,287.3443298339844,0.1437518894672393,0.9566199728874832
mmlu-pro,0.0,1e-05,0.025,0.05,35,300,286.9751281738281,0.1434177160263061,0.9539087211929508
mmlu-pro,0.0,1e-05,0.025,0.05,36,300,287.3940124511719,0.1433607041835785,0.9566199728874832
mmlu-pro,0.0,1e-05,0.025,0.05,37,300,287.17578125,0.1439824104309082,0.947582467239042
mmlu-pro,0.0,1e-05,0.025,0.05,38,300,286.9109802246094,0.1438567787408828,0.9575237234523272
mmlu-pro,0.0,1e-05,0.025,0.05,39,300,287.04156494140625,0.1421194374561309,0.9615906009941256
mmlu-pro,0.0,1e-05,0.025,0.05,40,300,286.9652099609375,0.1434776484966278,0.9498418436511524
mmlu-pro,0.0,1e-05,0.025,0.05,41,300,287.11431884765625,0.1438201069831848,0.9584274740171712
mmlu-pro,0.0,1e-05,0.025,0.05,42,300,287.40576171875,0.1438012570142746,0.9539087211929508
mmlu-pro,0.0,1e-05,0.025,0.05,43,300,287.01263427734375,0.1431692242622375,0.9597830998644374
mmlu-pro,0.0,1e-05,0.025,0.05,44,300,286.8553771972656,0.1437476277351379,0.9597830998644374
mmlu-pro,0.0,1e-05,0.025,0.05,45,300,286.6136474609375,0.1439015120267868,0.9566199728874832
mmlu-pro,0.0,1e-05,0.025,0.05,46,300,287.1852722167969,0.1420933753252029,0.9597830998644374
mmlu-pro,0.0,1e-05,0.025,0.05,47,300,287.19158935546875,0.1448940336704254,0.963849977406236
mmlu-pro,0.0,1e-05,0.025,0.05,48,300,286.8260192871094,0.1422596275806427,0.955716222322639
mmlu-pro,0.0,1e-05,0.025,0.05,49,300,287.4889221191406,0.1438205391168594,0.9624943515589698
mmlu-pro,0.0,1e-05,0.025,0.05,50,300,286.56256103515625,0.1417275816202163,0.9530049706281066
mmlu-pro,0.0,1e-05,0.025,0.05,51,300,286.94171142578125,0.1442882716655731,0.9575237234523272
mmlu-pro,0.0,1e-05,0.025,0.05,52,300,286.8933410644531,0.1420307755470276,0.9444193402620876
mmlu-pro,0.0,1e-05,0.025,0.05,53,300,287.2796936035156,0.1432007998228073,0.9543605964753727
mmlu-pro,0.0,1e-05,0.025,0.05,54,300,286.6163635253906,0.1434555798768997,0.9611387257117036
mmlu-pro,0.0,1e-05,0.025,0.05,55,300,287.37548828125,0.1438951343297958,0.9530049706281066
mmlu-pro,0.0,1e-05,0.025,0.05,56,300,287.060546875,0.1428300440311432,0.9552643470402168
mmlu-pro,0.0,1e-05,0.025,0.05,57,300,287.16717529296875,0.1425319612026214,0.9579755987347492
mmlu-pro,0.0,1e-05,0.025,0.05,58,300,286.9561462402344,0.1433614492416381,0.9602349751468596
