dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,seed,N_B,N_labels,mean_width,coverage,ess_multiplier
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,0,239,228.72378540039065,0.1287399977445602,0.9520795660036168,1.5271617320622883
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,1,239,228.95388793945312,0.1286225020885467,0.9452983725135624,1.5339835977230682
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,2,239,228.60037231445312,0.1285662800073623,0.9493670886075948,1.5291377396820678
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,3,239,229.14376831054688,0.1285307556390762,0.9529837251356238,1.5346624779256772
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,4,239,229.0284881591797,0.1286251097917556,0.9475587703435804,1.5331983378657685
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,5,239,228.8033447265625,0.1285218000411987,0.9498191681735986,1.5304697332279298
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,6,239,229.0447540283203,0.1285718828439712,0.9570524412296564,1.5332382146173957
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,7,239,228.99594116210935,0.1287240833044052,0.9471066907775768,1.5307599114592376
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,8,239,228.7576904296875,0.12862429022789,0.9475587703435804,1.5276645325172902
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,9,239,228.704345703125,0.1281710267066955,0.939873417721519,1.5360575958396268
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,10,239,228.83544921875,0.1286153495311737,0.9493670886075948,1.534379526689248
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,11,239,229.2368927001953,0.1287433356046676,0.9511754068716094,1.5286279442394644
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,12,239,228.9168243408203,0.1284984499216079,0.9534358047016276,1.5340122808324919
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,13,239,228.8318328857422,0.1285973042249679,0.9403254972875226,1.530112094927586
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,14,239,229.0244140625,0.1284070461988449,0.9561482820976492,1.534682788879126
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,15,239,228.82052612304688,0.1286093294620514,0.9547920433996384,1.5245899934392406
