dataset,n_full_obs,mcar_obs_prob,prop_budget,policy,tau,f,seed,N_B,N_labels,mean_width,coverage,ess_multiplier
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,0,239,239.19529724121097,0.1238270327448844,0.948010849909584,1.6507491984438474
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,1,239,239.18038940429688,0.1239185333251953,0.9525316455696202,1.65265458969877
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,2,239,238.8878936767578,0.1237182393670082,0.9511754068716094,1.6513278337562176
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,3,239,239.16818237304688,0.1238318756222724,0.9466546112115732,1.6533397009284956
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,4,239,239.1396942138672,0.1238716542720794,0.9466546112115732,1.6531260961356615
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,5,239,238.8101348876953,0.1237310692667961,0.948010849909584,1.6512803477883398
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,6,239,239.1306610107422,0.1238364428281784,0.9588607594936708,1.6527406383892231
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,7,239,239.23779296875,0.1239399164915084,0.950271247739602,1.6512175549352723
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,8,239,238.9823760986328,0.1237298548221588,0.9493670886075948,1.6509159813196288
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,9,239,238.27305603027344,0.1236124336719513,0.9421338155515372,1.6514404312507245
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,10,239,239.07550048828125,0.1238545626401901,0.9525316455696202,1.6546051798850028
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,11,239,239.51266479492188,0.1239314079284668,0.9452983725135624,1.6496375795718774
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,12,239,238.9864501953125,0.1237813979387283,0.9511754068716094,1.6531560384230035
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,13,239,238.8508148193359,0.1237314790487289,0.9439421338155516,1.652823840508441
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,14,239,238.9235992431641,0.1237866431474685,0.9547920433996384,1.6513866239495938
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,15,239,238.94439697265625,0.1237305030226707,0.950271247739602,1.647192877648433
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,16,239,238.6103057861328,0.1236624419689178,0.9525316455696202,1.652510704479726
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,17,239,238.66954040527344,0.1237111464142799,0.9529837251356238,1.6527105603601078
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,18,239,238.74819946289065,0.1238172650337219,0.953887884267631,1.6512187337017976
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,19,239,239.00045776367188,0.1236931309103965,0.9466546112115732,1.6463468938722687
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,20,239,238.90823364257812,0.1238162741065025,0.951627486437613,1.6554478022150136
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,21,239,238.765380859375,0.1237584948539733,0.9620253164556962,1.6523942078950258
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,22,239,239.0235137939453,0.1238082200288772,0.951627486437613,1.650666957362181
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,23,239,239.0189971923828,0.1238261833786964,0.945750452079566,1.6534335287061754
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,24,239,239.20616149902344,0.1239293366670608,0.940777576853526,1.6561810613207566
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,25,239,238.716552734375,0.1236868649721145,0.9389692585895116,1.651909572115264
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,26,239,238.93490600585935,0.123757503926754,0.948010849909584,1.6523036594631986
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,27,239,239.45208740234375,0.1238554269075393,0.9484629294755876,1.6495495213809988
