dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,49.5,1.6521187610695793,0.00019237361191704047,0.9503209764918625,0.00046619314874618117,0.12380383633077141,9.071160485211498e-06
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,49.5,1.653203780100857,0.0001440786055021931,0.9497830018083182,0.00045782781303200474,0.08643505856394765,3.966160514979235e-06
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.075,49.5,1.6534837840213492,0.00012563321520763721,0.9494575045207957,0.0004846948565118421,0.06959824636578556,2.808080796183598e-06
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.1,49.5,1.653620665173986,0.00010436314615478413,0.9502260397830018,0.00044320196413058564,0.05946751836687322,2.042841870690799e-06
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.125,49.5,1.6537431696130702,8.736858347866754e-05,0.9495614828209764,0.0004775400769757703,0.0524529499188065,1.6599471945801071e-06
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.15,49.5,1.6538033588576428,7.314451603984092e-05,0.9499231464737794,0.0005029983009047021,0.04718027345836158,1.3345944770316946e-06
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.175,49.5,1.6538729475347236,6.543206786353625e-05,0.9500678119349005,0.0004700509888092299,0.04303895037621255,1.1652920905072757e-06
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.2,49.5,1.6538441947312565,6.665777074979856e-05,0.9496654611211574,0.000509861506875481,0.03964857541024681,9.78557983958627e-07
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.225,49.5,1.6538747472732735,6.249427137194444e-05,0.9501898734177214,0.00045974917821223275,0.03678548041731114,7.850855806680688e-07
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.25,49.5,1.6539268797834203,5.897194711440087e-05,0.95000452079566,0.00046757271054145106,0.03433339387178416,6.687394127217245e-07
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.025,49.5,1.544997526748823,0.00021787039723410108,0.9499683544303796,0.00044656873686456004,0.1280238781869411,1.1934389872154524e-05
