dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage,ess_multiplier
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0,0.1213699430227279,0.9443942133815552,1.7182633669903744
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,1,0.1214830875396728,0.951627486437613,1.7195823581967398
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,2,0.1214874163269996,0.9484629294755876,1.7125299322384422
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,3,0.1214999482035636,0.951627486437613,1.7174132565869895
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,4,0.1215047985315322,0.9376130198915008,1.71815759964319
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,5,0.1214658170938491,0.9493670886075948,1.7134450942871415
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,6,0.1214579492807388,0.945750452079566,1.7181052093178917
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,7,0.121493823826313,0.9430379746835442,1.718376376417833
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,8,0.1215753555297851,0.9425858951175408,1.7099479142239578
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,9,0.1213607713580131,0.9443942133815552,1.7132887786957445
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,10,0.1215149015188217,0.9452983725135624,1.7189344722249449
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,11,0.1214321255683898,0.9462025316455696,1.7182411452312545
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,12,0.1214127242565155,0.9439421338155516,1.718288985581845
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,13,0.121351383626461,0.939873417721519,1.7182941534979888
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,14,0.1214721053838729,0.9439421338155516,1.7149174385230377
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,15,0.1215549632906913,0.943490054249548,1.7066820460650247
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,16,0.1214646846055984,0.943490054249548,1.71285209944253
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,17,0.1214777752757072,0.951627486437613,1.7140394195022426
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,18,0.1215235516428947,0.9443942133815552,1.7141393048813527
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,19,0.1214950233697891,0.9529837251356238,1.7064577330959776
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,20,0.1215054094791412,0.9452983725135624,1.7190152399332985
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,21,0.1214968264102935,0.9498191681735986,1.714485568053239
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,22,0.1214146837592125,0.9475587703435804,1.716390062730221
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,23,0.1214037463068962,0.938517179023508,1.7200756082759372
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,24,0.121396392583847,0.9493670886075948,1.7260147451371115
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,25,0.1214579492807388,0.9489150090415912,1.7130953849360855
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,26,0.121533952653408,0.9489150090415912,1.7133169137631539
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,27,0.1214231848716735,0.951627486437613,1.7162960352337262
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,28,0.1214727833867073,0.9443942133815552,1.7168988764865354
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,29,0.1214549690485,0.9525316455696202,1.7183831601100874
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,30,0.1214673072099685,0.9507233273056056,1.719875698117102
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,31,0.121468611061573,0.9430379746835442,1.7172550615879316
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,32,0.12150339782238,0.9448462929475588,1.7208613361742868
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,33,0.1213803887367248,0.9443942133815552,1.7242968424627292
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,34,0.1214478760957717,0.9534358047016276,1.7223172606747723
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,35,0.121423102915287,0.9493670886075948,1.7230938983817867
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,36,0.1214581951498985,0.9452983725135624,1.7141811889832217
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,37,0.1214493960142135,0.9443942133815552,1.7261752615512813
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,38,0.121426410973072,0.9448462929475588,1.7178749495263752
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,39,0.1214205622673034,0.9620253164556962,1.716276283244784
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,40,0.1215129271149635,0.9547920433996384,1.7127024875126888
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,41,0.1214340925216674,0.9430379746835442,1.7167445905538248
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,42,0.12144485861063,0.9475587703435804,1.7207922757982466
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,43,0.1214172467589378,0.9403254972875226,1.7183134905939668
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,44,0.1214422807097435,0.945750452079566,1.7210391758437809
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,45,0.1214931011199951,0.9439421338155516,1.7200728708393784
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,46,0.1214599907398223,0.9584086799276672,1.7161610660609972
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,47,0.1214454472064971,0.9448462929475588,1.7184634682767332
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,48,0.1214202269911766,0.9452983725135624,1.7168366276568243
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,49,0.1214312389492988,0.9412296564195298,1.7186951030167368
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,50,0.1213478147983551,0.9529837251356238,1.7184885896177349
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,51,0.121413804590702,0.9484629294755876,1.7186487190661477
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,52,0.1214504688978195,0.9466546112115732,1.7109326475537898
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,53,0.1213727444410324,0.9466546112115732,1.7202696751407052
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,54,0.1214895322918891,0.9507233273056056,1.7128943635772245
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,55,0.1214386373758316,0.9489150090415912,1.7197171019817517
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,56,0.1213992908596992,0.9489150090415912,1.7173271780610386
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,57,0.1214919835329055,0.9570524412296564,1.7137759760735616
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,58,0.1214817911386489,0.9443942133815552,1.719196367966356
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,59,0.1214528754353523,0.9439421338155516,1.7161702391788707
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,60,0.1215148717164993,0.9493670886075948,1.7095495359159876
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,61,0.1214893236756324,0.9425858951175408,1.7244399959460754
