dataset,n_full_obs,mcar_obs_prob,prop_budget,policy,tau,f,seed,N_B,N_labels,mean_width,coverage,ess_multiplier
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,0,239,239.19529724121097,0.1590948104858398,0.9462025316455696,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,1,239,239.18038940429688,0.1593042314052581,0.9561482820976492,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,2,239,238.8878936767578,0.1589828878641128,0.9498191681735986,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,3,239,239.16818237304688,0.1592258214950561,0.9484629294755876,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,4,239,239.1396942138672,0.1592666804790496,0.9534358047016276,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,5,239,238.8101348876953,0.1589970886707306,0.9520795660036168,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,6,239,239.1306610107422,0.1592028439044952,0.950271247739602,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,7,239,239.23779296875,0.1592624336481094,0.9520795660036168,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,8,239,238.9823760986328,0.15897798538208,0.9529837251356238,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,9,239,238.27305603027344,0.1588523387908935,0.9416817359855334,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,10,239,239.07550048828125,0.1593159288167953,0.9493670886075948,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,11,239,239.51266479492188,0.1591752916574478,0.9475587703435804,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,12,239,238.9864501953125,0.1591520756483078,0.9543399638336348,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,13,239,238.8508148193359,0.1590719074010849,0.948010849909584,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,14,239,238.9235992431641,0.1590736210346222,0.9511754068716094,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,15,239,238.94439697265625,0.1587994545698166,0.9439421338155516,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,16,239,238.6103057861328,0.1589680910110473,0.9525316455696202,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,17,239,238.66954040527344,0.1590403169393539,0.9462025316455696,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,18,239,238.74819946289065,0.1591048836708068,0.9416817359855334,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,19,239,239.00045776367188,0.1587107181549072,0.9425858951175408,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,20,239,238.90823364257812,0.1593072265386581,0.9520795660036168,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,21,239,238.765380859375,0.1590859591960907,0.9489150090415912,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,22,239,239.0235137939453,0.1590666770935058,0.9498191681735986,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,23,239,239.0189971923828,0.1592230200767517,0.950271247739602,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,24,239,239.20616149902344,0.1594880074262619,0.943490054249548,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,25,239,238.716552734375,0.1589705646038055,0.9312839059674504,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,26,239,238.93490600585935,0.1590803265571594,0.9443942133815552,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,27,239,239.45208740234375,0.159073457121849,0.9471066907775768,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,28,239,238.93942260742188,0.1591663807630539,0.9443942133815552,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,29,239,239.1473846435547,0.1592118144035339,0.9425858951175408,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,30,239,239.18218994140625,0.1592971235513687,0.9525316455696202,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,31,239,238.978759765625,0.1591774225234985,0.9525316455696202,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,32,239,239.26446533203125,0.1593901067972183,0.9520795660036168,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,33,239,239.3182678222656,0.1593876034021377,0.9475587703435804,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,34,239,239.4254150390625,0.1593846529722213,0.9475587703435804,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,35,239,239.10443115234375,0.1593880653381347,0.9439421338155516,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,36,239,239.32550048828125,0.159021258354187,0.9525316455696202,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,37,239,239.51808166503903,0.1595650613307953,0.9547920433996384,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,38,239,238.81690979003903,0.1591508388519287,0.93625678119349,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,39,239,239.13246154785156,0.1590691059827804,0.9448462929475588,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,40,239,238.7206268310547,0.1590242832899093,0.9443942133815552,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,41,239,238.9050750732422,0.1591085344552993,0.9471066907775768,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,42,239,239.6229705810547,0.1593101173639297,0.9507233273056056,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,43,239,239.1519012451172,0.1591591387987136,0.9489150090415912,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,44,239,239.05470275878903,0.1593181639909744,0.9498191681735986,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,45,239,238.9213409423828,0.1593400835990905,0.9452983725135624,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,46,239,239.02305603027344,0.1591154187917709,0.9367088607594936,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,47,239,239.47152709960935,0.1592030525207519,0.9556962025316456,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,48,239,238.5782165527344,0.1590946316719055,0.948010849909584,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,49,239,239.51808166503903,0.1591951549053192,0.948010849909584,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,50,239,238.55064392089844,0.1590762287378311,0.9403254972875226,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,51,239,238.97921752929688,0.1591701507568359,0.9448462929475588,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,52,239,238.24368286132812,0.1588604003190994,0.9462025316455696,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,53,239,239.515380859375,0.1591913402080536,0.953887884267631,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,54,239,238.48373413085935,0.1590025722980499,0.9421338155515372,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,55,239,239.0406951904297,0.159252181649208,0.9489150090415912,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,56,239,238.74368286132812,0.1590899229049682,0.9471066907775768,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,57,239,239.2174530029297,0.1590466946363449,0.948010849909584,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,58,239,239.28436279296875,0.1592846512794494,0.948010849909584,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,59,239,239.039794921875,0.1591065227985382,0.9416817359855334,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,60,239,238.60714721679688,0.1588803827762603,0.945750452079566,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,61,239,239.3607635498047,0.1595372706651687,0.9588607594936708,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,62,239,239.29249572753903,0.1591737270355224,0.9566003616636528,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,63,239,238.80967712402344,0.1588718891143798,0.9425858951175408,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,64,239,239.32595825195312,0.1591557711362838,0.9394213381555152,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,65,239,239.0095062255859,0.1589519828557968,0.9484629294755876,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,66,239,238.70977783203125,0.1592751145362854,0.9493670886075948,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,67,239,239.41954040527344,0.1593202501535415,0.9534358047016276,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,68,239,238.53390502929688,0.1589974462985992,0.9471066907775768,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,69,239,239.04656982421875,0.1590171903371811,0.9484629294755876,1.0
