dataset,prop_budget,seed,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
bbh+gpqa+ifeval+math+musr,0.025,49.5,1.0,0.0,0.9480289330922242,0.00047166973174829745,0.15913096740841862,1.639694582377152e-05
bbh+gpqa+ifeval+math+musr,0.05,49.5,1.0,0.0,0.9486482820976491,0.00044026248607674544,0.11113557286560533,7.315475445335464e-06
bbh+gpqa+ifeval+math+musr,0.075,49.5,1.0,0.0,0.9494394213381555,0.0004945758820219353,0.08949489206075664,5.386029149049309e-06
bbh+gpqa+ifeval+math+musr,0.1,49.5,1.0,0.0,0.949254068716094,0.0004835148689337149,0.07647117234766479,3.86955016478728e-06
bbh+gpqa+ifeval+math+musr,0.125,49.5,1.0,0.0,0.9494620253164556,0.0004300676982858653,0.06745341502130027,3.0422836691508164e-06
bbh+gpqa+ifeval+math+musr,0.15,49.5,1.0,0.0,0.9496971066907776,0.0005070033894683441,0.06067396607249971,2.4039727181442778e-06
bbh+gpqa+ifeval+math+musr,0.175,49.5,1.0,0.0,0.9501401446654612,0.0005099588882345307,0.055349377319216686,2.0222848946957526e-06
bbh+gpqa+ifeval+math+musr,0.2,49.5,1.0,0.0,0.9500226039783002,0.0004941476702783681,0.05098881047219034,1.7914701963788615e-06
bbh+gpqa+ifeval+math+musr,0.225,49.5,1.0,0.0,0.9500135623869801,0.0004964975433270644,0.04730725370347495,1.4991956017182801e-06
bbh+gpqa+ifeval+math+musr,0.25,49.5,1.0,0.0,0.9499276672694394,0.0005047893951476845,0.0441544912755489,1.298591893934543e-06
mmlu-pro,0.025,49.5,1.0,0.0,0.9475417984636241,0.00043251905552409327,0.1267023909091949,1.224945485659697e-05
mmlu-pro,0.05,49.5,1.0,0.0,0.948933574333484,0.00046882894731653117,0.08840734250843521,6.586163656628231e-06
mmlu-pro,0.075,49.5,1.0,0.0,0.9489652056032536,0.000417056353947891,0.0712255177646875,4.379046882246451e-06
mmlu-pro,0.1,49.5,1.0,0.0,0.9490420244012653,0.00045323530888913505,0.060841780379414505,3.2245501153786453e-06
mmlu-pro,0.125,49.5,1.0,0.0,0.9489516493447809,0.0004954155615986915,0.05365457914769645,2.5828760093623725e-06
mmlu-pro,0.15,49.5,1.0,0.0,0.9495119746949843,0.0004580811027960952,0.0482895048335194,2.1416715614836328e-06
mmlu-pro,0.175,49.5,1.0,0.0,0.9493176683235427,0.0004982657730587523,0.04404203418642278,1.7235875880713096e-06
mmlu-pro,0.2,49.5,1.0,0.0,0.9495842747401717,0.0005303662646491227,0.04056707385927434,1.4458254888153238e-06
mmlu-pro,0.225,49.5,1.0,0.0,0.9496836873023047,0.0005033139727245262,0.03764363639056679,1.1772658925276004e-06
mmlu-pro,0.25,49.5,1.0,0.0,0.9497559873474921,0.00044471270670591535,0.03513022359460588,1.0589289501191467e-06
