dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage
mmlu-pro,0.0,1e-05,0.025,66,0.1012579649686813,0.9489380930863082
mmlu-pro,0.0,1e-05,0.025,67,0.1013218760490417,0.94713059195662
mmlu-pro,0.0,1e-05,0.025,68,0.1012705340981483,0.9579755987347492
mmlu-pro,0.0,1e-05,0.025,69,0.1012316346168518,0.9521012200632626
mmlu-pro,0.0,1e-05,0.025,70,0.1012424677610397,0.9498418436511524
mmlu-pro,0.0,1e-05,0.025,71,0.1012724712491035,0.9543605964753727
mmlu-pro,0.0,1e-05,0.025,72,0.1013031676411628,0.9548124717577948
mmlu-pro,0.0,1e-05,0.025,73,0.1013317480683326,0.947582467239042
mmlu-pro,0.0,1e-05,0.025,74,0.1013247296214103,0.9498418436511524
mmlu-pro,0.0,1e-05,0.025,75,0.1011664271354675,0.946226841391776
mmlu-pro,0.0,1e-05,0.025,76,0.1013576313853263,0.9516493447808404
mmlu-pro,0.0,1e-05,0.025,77,0.1013587042689323,0.94713059195662
mmlu-pro,0.0,1e-05,0.025,78,0.1013155505061149,0.9484862178038862
mmlu-pro,0.0,1e-05,0.025,79,0.1012108027935028,0.9484862178038862
mmlu-pro,0.0,1e-05,0.025,80,0.1012187153100967,0.9597830998644374
mmlu-pro,0.0,1e-05,0.025,81,0.1012309417128562,0.94713059195662
mmlu-pro,0.0,1e-05,0.025,82,0.1012594327330589,0.9493899683687302
mmlu-pro,0.0,1e-05,0.025,83,0.1012333706021308,0.947582467239042
mmlu-pro,0.0,1e-05,0.025,84,0.1012970432639122,0.9412562132851332
mmlu-pro,0.0,1e-05,0.025,85,0.1012880280613899,0.9439674649796655
mmlu-pro,0.0,1e-05,0.025,86,0.101252257823944,0.9539087211929508
mmlu-pro,0.0,1e-05,0.025,87,0.10134007781744,0.9543605964753727
mmlu-pro,0.0,1e-05,0.025,88,0.1012911051511764,0.948034342521464
mmlu-pro,0.0,1e-05,0.025,89,0.1012566536664962,0.9579755987347492
mmlu-pro,0.0,1e-05,0.025,90,0.1012991145253181,0.9435155896972436
mmlu-pro,0.0,1e-05,0.025,91,0.1012183502316474,0.946678716674198
mmlu-pro,0.0,1e-05,0.025,92,0.101267822086811,0.9534568459105288
mmlu-pro,0.0,1e-05,0.025,93,0.101232998073101,0.945774966109354
mmlu-pro,0.0,1e-05,0.025,94,0.1013112589716911,0.9511974694984184
mmlu-pro,0.0,1e-05,0.025,95,0.1014045178890228,0.9376412110257568
mmlu-pro,0.0,1e-05,0.025,96,0.1011616140604019,0.9394487121554452
mmlu-pro,0.0,1e-05,0.025,97,0.1012652516365051,0.948034342521464
mmlu-pro,0.0,1e-05,0.025,98,0.1012571975588798,0.9448712155445096
mmlu-pro,0.0,1e-05,0.025,99,0.1013368368148803,0.945774966109354
mmlu-pro,0.0,1e-05,0.05,66,0.0715927332639694,0.946678716674198
mmlu-pro,0.0,1e-05,0.05,67,0.0716198682785034,0.947582467239042
mmlu-pro,0.0,1e-05,0.05,68,0.0716504976153373,0.9548124717577948
mmlu-pro,0.0,1e-05,0.05,69,0.0715803876519203,0.9521012200632626
mmlu-pro,0.0,1e-05,0.05,70,0.0716114565730094,0.9453230908269318
mmlu-pro,0.0,1e-05,0.05,71,0.0716253221035003,0.9575237234523272
mmlu-pro,0.0,1e-05,0.05,72,0.0716017484664917,0.9507455942159964
mmlu-pro,0.0,1e-05,0.05,73,0.071696750819683,0.946678716674198
mmlu-pro,0.0,1e-05,0.05,74,0.0716224610805511,0.9453230908269318
mmlu-pro,0.0,1e-05,0.05,75,0.0715860873460769,0.946226841391776
mmlu-pro,0.0,1e-05,0.05,76,0.0716854482889175,0.9439674649796655
mmlu-pro,0.0,1e-05,0.05,77,0.0716612860560417,0.9548124717577948
mmlu-pro,0.0,1e-05,0.05,78,0.0716530904173851,0.9579755987347492
mmlu-pro,0.0,1e-05,0.05,79,0.0715946182608604,0.9548124717577948
mmlu-pro,0.0,1e-05,0.05,80,0.0715943798422813,0.9511974694984184
mmlu-pro,0.0,1e-05,0.05,81,0.0716056004166603,0.946226841391776
mmlu-pro,0.0,1e-05,0.05,82,0.0716404169797897,0.956168097605061
mmlu-pro,0.0,1e-05,0.05,83,0.071581482887268,0.9530049706281066
mmlu-pro,0.0,1e-05,0.05,84,0.0716600194573402,0.945774966109354
mmlu-pro,0.0,1e-05,0.05,85,0.0716634765267372,0.9521012200632626
mmlu-pro,0.0,1e-05,0.05,86,0.0716443508863449,0.946678716674198
mmlu-pro,0.0,1e-05,0.05,87,0.0716519579291343,0.9539087211929508
mmlu-pro,0.0,1e-05,0.05,88,0.071621298789978,0.9516493447808404
mmlu-pro,0.0,1e-05,0.05,89,0.0716219991445541,0.9444193402620876
mmlu-pro,0.0,1e-05,0.05,90,0.0716001391410827,0.956168097605061
mmlu-pro,0.0,1e-05,0.05,91,0.0716108009219169,0.9543605964753727
mmlu-pro,0.0,1e-05,0.05,92,0.0716222822666168,0.9525530953456848
mmlu-pro,0.0,1e-05,0.05,93,0.0716154351830482,0.9448712155445096
mmlu-pro,0.0,1e-05,0.05,94,0.0716424733400344,0.946226841391776
mmlu-pro,0.0,1e-05,0.05,95,0.0716907978057861,0.946226841391776
mmlu-pro,0.0,1e-05,0.05,96,0.0715305134654045,0.9417080885675554
mmlu-pro,0.0,1e-05,0.05,97,0.0715724229812622,0.9489380930863082
mmlu-pro,0.0,1e-05,0.05,98,0.0716468468308448,0.9511974694984184
mmlu-pro,0.0,1e-05,0.05,99,0.0716586485505104,0.9448712155445096
mmlu-pro,0.0,1e-05,0.075,66,0.0584734976291656,0.9484862178038862
mmlu-pro,0.0,1e-05,0.075,67,0.058487232774496,0.9525530953456848
mmlu-pro,0.0,1e-05,0.075,68,0.058513406664133,0.9502937189335744
mmlu-pro,0.0,1e-05,0.075,69,0.0584818124771118,0.9507455942159964
mmlu-pro,0.0,1e-05,0.075,70,0.0584629215300083,0.9417080885675554
mmlu-pro,0.0,1e-05,0.075,71,0.0584798008203506,0.9511974694984184
mmlu-pro,0.0,1e-05,0.075,72,0.0584876760840415,0.946226841391776
mmlu-pro,0.0,1e-05,0.075,73,0.058528397232294,0.9552643470402168
mmlu-pro,0.0,1e-05,0.075,74,0.0584816560149192,0.9498418436511524
mmlu-pro,0.0,1e-05,0.075,75,0.0584425926208496,0.946678716674198
mmlu-pro,0.0,1e-05,0.075,76,0.0585186071693897,0.9453230908269318
mmlu-pro,0.0,1e-05,0.075,77,0.0584956295788288,0.9530049706281066
