dataset,prop_budget,seed,mean_width,coverage,sq_err,n_resampled,n_resampled_unique
mmlu-pro,0.025,0,0.0669858455657959,0.9371893357433349,0.0003231337177567,4.505196565747854,4.45142340713963
mmlu-pro,0.025,1,0.0673675015568733,0.9399005874378672,0.0003385196905583,4.442837776773611,4.3849977406235885
mmlu-pro,0.025,2,0.0671551004052162,0.945774966109354,0.0003067917423322,4.441482150926345,4.392227745142341
mmlu-pro,0.025,3,0.0671629905700683,0.9371893357433349,0.0003290788154117,4.463172164482603,4.419792137370086
mmlu-pro,0.025,4,0.0671286135911941,0.9376412110257568,0.0003273802576586,4.460009037505649,4.416629010393132
mmlu-pro,0.025,5,0.0671104714274406,0.945774966109354,0.000297702208627,4.532309082693176,4.484410302756439
mmlu-pro,0.025,6,0.0669490173459053,0.9349299593312246,0.0003175260208081,4.604157252598284,4.550384093990059
mmlu-pro,0.025,7,0.0669659972190857,0.9493899683687302,0.0003093197592534,4.556258472661545,4.502937189335744
mmlu-pro,0.025,8,0.0668372139334678,0.9394487121554452,0.0003484470653347,4.547672842295527,4.4988703117939455
mmlu-pro,0.025,9,0.0671748965978622,0.930863081789426,0.000341661798302,4.482602801626752,4.431992769995482
mmlu-pro,0.025,10,0.0671807006001472,0.9394487121554452,0.0003137050662189,4.534568459105287,4.483958427474017
mmlu-pro,0.025,11,0.0673178285360336,0.9394487121554452,0.0003257850476074,4.550384093990059,4.5020334387709
mmlu-pro,0.025,12,0.0672200471162796,0.9507455942159964,0.0003081876493524,4.542250338906462,4.492995933122458
mmlu-pro,0.025,13,0.0669820383191108,0.946226841391776,0.0003179749182891,4.580207862629915,4.534116583822865
mmlu-pro,0.025,14,0.0669419392943382,0.9408043380027112,0.0003195558092556,4.5042928151830095,4.448712155445097
mmlu-pro,0.025,15,0.0671465843915939,0.9511974694984184,0.0003042655880562,4.497966561229101,4.441482150926345
mmlu-pro,0.025,16,0.0670738741755485,0.9340262087663804,0.0003341943083796,4.497514685946679,4.45142340713963
mmlu-pro,0.025,17,0.0669528618454933,0.9453230908269318,0.0003180341154802,4.514234071396295,4.469498418436512
mmlu-pro,0.025,18,0.0672117546200752,0.9426118391323997,0.0003178265469614,4.498418436511523,4.4441934026208765
mmlu-pro,0.025,19,0.0668295845389366,0.9417080885675554,0.0003080658207181,4.535472209670131,4.490736556710348
mmlu-pro,0.025,20,0.0670408830046653,0.9435155896972436,0.0003145374066662,4.522819701762314,4.4699502937189335
mmlu-pro,0.025,21,0.0673399493098259,0.9417080885675554,0.0003175820747856,4.47582467239042,4.424310890194307
mmlu-pro,0.025,22,0.0670747831463813,0.929055580659738,0.0003428280760999,4.516041572525983,4.474017171260733
mmlu-pro,0.025,23,0.0670354887843132,0.946678716674198,0.0003048586659133,4.536375960234976,4.48892905558066
mmlu-pro,0.025,24,0.0667398199439048,0.9317668323542704,0.0003251787857152,4.468142792589245,4.417080885675554
mmlu-pro,0.025,25,0.0674066916108131,0.9421599638499776,0.0003185168025083,4.429733393583371,4.375960234975147
mmlu-pro,0.025,26,0.0674052312970161,0.948034342521464,0.0003170009877067,4.482150926344329,4.4387708992318125
mmlu-pro,0.025,27,0.0667066574096679,0.9453230908269318,0.0003190712886862,4.483054676909173,4.430637144148215
mmlu-pro,0.025,28,0.0667653158307075,0.9313149570718482,0.000332504074322,4.497062810664257,4.446000903750565
mmlu-pro,0.025,29,0.0672648623585701,0.9376412110257568,0.0003071808896493,4.562132851333033,4.514234071396295
mmlu-pro,0.025,30,0.0668927356600761,0.9385449615906012,0.000324148510117,4.554902846814279,4.502485314053321
mmlu-pro,0.025,31,0.0671095326542854,0.94713059195662,0.000299554580124,4.482150926344329,4.437867148666968
mmlu-pro,0.025,32,0.0668618753552436,0.9421599638499776,0.0003072604886256,4.582467239042025,4.529145955716222
mmlu-pro,0.025,33,0.0668444409966468,0.9412562132851332,0.0003024735779035,4.474469046543154,4.423859014911884
mmlu-pro,0.025,34,0.0669081583619117,0.9484862178038862,0.0003173439763486,4.458653411658382,4.408495255309535
mmlu-pro,0.025,35,0.0672462284564971,0.9376412110257568,0.0003214256139472,4.586082241301401,4.531405332128333
mmlu-pro,0.025,36,0.0668921843171119,0.9417080885675554,0.0003280996461398,4.455490284681428,4.406235878897425
mmlu-pro,0.025,37,0.0671707615256309,0.9453230908269318,0.0003225188411306,4.561229100768188,4.503389064618165
mmlu-pro,0.025,38,0.0673678144812583,0.9399005874378672,0.0003234620962757,4.485765928603706,4.442837776773611
mmlu-pro,0.025,39,0.066956490278244,0.9435155896972436,0.0003118295571766,4.463624039765025,4.414369633981021
mmlu-pro,0.025,40,0.0667879879474639,0.9376412110257568,0.0003088793891947,4.505648441030276,4.465883416177135
mmlu-pro,0.025,41,0.0671223104000091,0.9421599638499776,0.0003139109758194,4.51107094441934,4.456845910528695
mmlu-pro,0.025,42,0.0668417438864708,0.9412562132851332,0.0003174283192493,4.534116583822865,4.489832806145504
mmlu-pro,0.025,43,0.0674857497215271,0.9385449615906012,0.0003155896847601,4.550835969272481,4.503389064618165
mmlu-pro,0.025,44,0.0669678375124931,0.9417080885675554,0.0003196749603375,4.559873474920922,4.502485314053321
mmlu-pro,0.025,45,0.0669355392456054,0.9421599638499776,0.0003059222071897,4.514234071396295,4.467690917306824
mmlu-pro,0.025,46,0.0670980438590049,0.938996836873023,0.0003184451197739,4.447808404880253,4.402169001355626
mmlu-pro,0.025,47,0.0672919824719429,0.9385449615906012,0.0003187283873558,4.501581563488477,4.446904654315409
mmlu-pro,0.025,48,0.0668960288166999,0.9421599638499776,0.000331273273332,4.461816538635337,4.408043380027113
mmlu-pro,0.025,49,0.0671061351895332,0.9430637144148216,0.0003150904085487,4.479439674649797,4.432896520560326
mmlu-pro,0.025,50,0.067498080432415,0.9453230908269318,0.0003173354198224,4.532309082693176,4.476728422955264
mmlu-pro,0.025,51,0.0672589391469955,0.9376412110257568,0.0003341781848575,4.564392227745143,4.515137821961139
mmlu-pro,0.025,52,0.0669690668582916,0.9448712155445096,0.0003090316313318,4.454134658834162,4.402169001355626
mmlu-pro,0.025,53,0.0671668499708175,0.9394487121554452,0.0003157468745484,4.526886579304112,4.4762765476728426
mmlu-pro,0.025,54,0.0673525258898735,0.9448712155445096,0.0003174536977894,4.5042928151830095,4.450971531857207
mmlu-pro,0.025,55,0.0670406892895698,0.9403524627202892,0.0003170851268805,4.498418436511523,4.443741527338455
mmlu-pro,0.025,56,0.0672367289662361,0.9371893357433349,0.0003236321208532,4.557162223226389,4.506100316312698
mmlu-pro,0.025,57,0.0667308792471885,0.9403524627202892,0.0003131137345917,4.448712155445097,4.40307275192047
mmlu-pro,0.025,58,0.0668687745928764,0.9435155896972436,0.0003035369445569,4.638499774062359,4.58788974243109
mmlu-pro,0.025,59,0.0677702277898788,0.94713059195662,0.0003248939465265,4.502937189335744,4.4559421599638505
mmlu-pro,0.025,60,0.0665599107742309,0.945774966109354,0.0003291111788712,4.531405332128333,4.48666967916855
mmlu-pro,0.025,61,0.0672088637948036,0.9394487121554452,0.0003128275857307,4.516041572525983,4.462720289200181
mmlu-pro,0.025,62,0.0672781988978385,0.945774966109354,0.0003207318950444,4.571170356981473,4.515589697243561
mmlu-pro,0.025,63,0.0670620426535606,0.9444193402620876,0.0003148085670545,4.572525982828739,4.519656574785359
mmlu-pro,0.025,64,0.0668771043419838,0.9362855851784908,0.000333711883286,4.539087211929508,4.492995933122458
mmlu-pro,0.025,65,0.0670578405261039,0.9448712155445096,0.0003031787346117,4.539087211929508,4.489832806145504
mmlu-pro,0.025,66,0.0670684054493904,0.9426118391323997,0.0003210364375263,4.480795300497063,4.432896520560326
mmlu-pro,0.025,67,0.0671979114413261,0.9444193402620876,0.0003093387349508,4.49118843199277,4.446452779032987
mmlu-pro,0.025,68,0.0670741572976112,0.9362855851784908,0.0003235729527659,4.460009037505649,4.411658382286489
mmlu-pro,0.025,69,0.0671711564064025,0.945774966109354,0.0003286581777501,4.580207862629915,4.531405332128333
mmlu-pro,0.025,70,0.0669333785772323,0.9439674649796655,0.0003176483151037,4.609127880704926,4.554902846814279
mmlu-pro,0.025,71,0.0670080929994583,0.9353818346136468,0.0003272349131293,4.515589697243561,4.467239042024401
mmlu-pro,0.025,72,0.0671940073370933,0.9521012200632626,0.0003054005501326,4.509263443289652,4.460912788070493
mmlu-pro,0.025,73,0.0669561997056007,0.9376412110257568,0.0003270066226832,4.4762765476728426,4.431992769995482
mmlu-pro,0.025,74,0.067148171365261,0.9426118391323997,0.0003181476495228,4.579755987347492,4.530953456845911
mmlu-pro,0.025,75,0.0670409724116325,0.9408043380027112,0.00031275182846,4.568910980569363,4.525079078174424
mmlu-pro,0.025,76,0.0674363672733306,0.9408043380027112,0.0003241734520997,4.53953908721193,4.495255309534569
mmlu-pro,0.025,77,0.0672551691532135,0.9417080885675554,0.0003168240946251,4.516493447808405,4.457749661093539
mmlu-pro,0.025,78,0.0666892156004905,0.9362855851784908,0.0003304392448626,4.46046091278807,4.408947130591957
mmlu-pro,0.025,79,0.0671541467308998,0.938093086308179,0.0003393974038772,4.540894713059196,4.480795300497063
