dataset,prop_budget,seed,mean_width,coverage,sq_err,n_resampled,n_resampled_unique
mmlu-pro,0.025,0,0.0663842111825943,0.9408043380027112,0.0003145047521684319,0.0,0.0
mmlu-pro,0.025,1,0.06671912223100662,0.9435155896972436,0.00033206373336724937,0.0,0.0
mmlu-pro,0.025,2,0.0665820762515068,0.94713059195662,0.0003028608043678105,0.0,0.0
mmlu-pro,0.025,3,0.06651676446199417,0.9408043380027112,0.0003237424825783819,0.0,0.0
mmlu-pro,0.025,4,0.06654787063598633,0.9371893357433349,0.00031991503783501685,0.0,0.0
mmlu-pro,0.025,5,0.06652937829494476,0.9457749661093539,0.0002926076704170555,0.0,0.0
mmlu-pro,0.025,6,0.06634006649255753,0.9353818346136467,0.00031343704904429615,0.0,0.0
mmlu-pro,0.025,7,0.06638788431882858,0.9484862178038862,0.0003050643717870116,0.0,0.0
mmlu-pro,0.025,8,0.06620298326015472,0.9362855851784908,0.00033623541821725667,0.0,0.0
mmlu-pro,0.025,9,0.06652472168207169,0.9353818346136467,0.0003367149911355227,0.0,0.0
mmlu-pro,0.025,10,0.06655602902173996,0.938996836873023,0.00031058379681780934,0.0,0.0
mmlu-pro,0.025,11,0.06674588471651077,0.938093086308179,0.00032172820647247136,0.0,0.0
mmlu-pro,0.025,12,0.06661813706159592,0.9511974694984184,0.0003033979737665504,0.0,0.0
mmlu-pro,0.025,13,0.06638225167989731,0.9435155896972436,0.00030992506071925163,0.0,0.0
mmlu-pro,0.025,14,0.06629611551761627,0.9426118391323995,0.00031403571483679116,0.0,0.0
mmlu-pro,0.025,15,0.06655094772577286,0.9462268413917759,0.0003083700721617788,0.0,0.0
mmlu-pro,0.025,16,0.06639949977397919,0.9349299593312246,0.0003271155583206564,0.0,0.0
mmlu-pro,0.025,17,0.06624434143304825,0.9448712155445097,0.00031074677826836705,0.0,0.0
mmlu-pro,0.025,18,0.06651677191257477,0.9421599638499775,0.0003060251474380493,0.0,0.0
mmlu-pro,0.025,19,0.06618063896894455,0.9421599638499775,0.00030591952963732183,0.0,0.0
mmlu-pro,0.025,20,0.06643758714199066,0.9453230908269318,0.0003050512168556452,0.0,0.0
mmlu-pro,0.025,21,0.06667332351207733,0.9362855851784908,0.0003111060941591859,0.0,0.0
mmlu-pro,0.025,22,0.06647323817014694,0.9317668323542703,0.00033267788239754736,0.0,0.0
mmlu-pro,0.025,23,0.06637602299451828,0.9462268413917759,0.00029651541262865067,0.0,0.0
mmlu-pro,0.025,24,0.0661059096455574,0.9353818346136467,0.00031520158518105745,0.0,0.0
mmlu-pro,0.025,25,0.06679846346378326,0.9430637144148215,0.00031398655846714973,0.0,0.0
mmlu-pro,0.025,26,0.0667579397559166,0.9480343425214641,0.0003082629991695285,0.0,0.0
mmlu-pro,0.025,27,0.06607349216938019,0.9444193402620877,0.00030477356631308794,0.0,0.0
mmlu-pro,0.025,28,0.06618153303861618,0.9353818346136467,0.00032880614162422717,0.0,0.0
mmlu-pro,0.025,29,0.06665967404842377,0.9439674649796657,0.00030613920534960926,0.0,0.0
mmlu-pro,0.025,30,0.06625904887914658,0.9421599638499775,0.0003121842455584556,0.0,0.0
mmlu-pro,0.025,31,0.06646165251731873,0.94713059195662,0.00029512334731407464,0.0,0.0
mmlu-pro,0.025,32,0.06630879640579224,0.9417080885675554,0.0003010054351761937,0.0,0.0
mmlu-pro,0.025,33,0.06620219349861145,0.9448712155445097,0.00030456631793640554,0.0,0.0
mmlu-pro,0.025,34,0.06625369936227798,0.947582467239042,0.000315602112095803,0.0,0.0
mmlu-pro,0.025,35,0.06660313159227371,0.9403524627202893,0.00031456659780815244,0.0,0.0
mmlu-pro,0.025,36,0.06621253490447998,0.9426118391323995,0.00032198752160184085,0.0,0.0
mmlu-pro,0.025,37,0.06649939715862274,0.9439674649796657,0.00031644850969314575,0.0,0.0
mmlu-pro,0.025,38,0.06666593253612518,0.9376412110257569,0.0003215546312276274,0.0,0.0
mmlu-pro,0.025,39,0.06634523719549179,0.9430637144148215,0.0003034053952433169,0.0,0.0
mmlu-pro,0.025,40,0.0662456601858139,0.9408043380027112,0.00030321578378789127,0.0,0.0
mmlu-pro,0.025,41,0.06647425889968872,0.9435155896972436,0.0003016157716047019,0.0,0.0
mmlu-pro,0.025,42,0.06623668968677521,0.94713059195662,0.00030941356089897454,0.0,0.0
mmlu-pro,0.025,43,0.0667852908372879,0.9403524627202893,0.0003031750675290823,0.0,0.0
mmlu-pro,0.025,44,0.06626574695110321,0.9421599638499775,0.00031003603362478316,0.0,0.0
mmlu-pro,0.025,45,0.06635203957557678,0.9421599638499775,0.0003045739431399852,0.0,0.0
mmlu-pro,0.025,46,0.06644732505083084,0.9426118391323995,0.0003074287378694862,0.0,0.0
mmlu-pro,0.025,47,0.06668078154325485,0.9371893357433349,0.00030845540459267795,0.0,0.0
mmlu-pro,0.025,48,0.06621601432561874,0.9362855851784908,0.00033116264967247844,0.0,0.0
mmlu-pro,0.025,49,0.06648099422454834,0.9435155896972436,0.00030877668177708983,0.0,0.0
mmlu-pro,0.025,50,0.06686597317457199,0.9462268413917759,0.00031598738860338926,0.0,0.0
mmlu-pro,0.025,51,0.06658940762281418,0.9358337098960687,0.0003327069280203432,0.0,0.0
mmlu-pro,0.025,52,0.06640252470970154,0.9439674649796657,0.0002968013577628881,0.0,0.0
mmlu-pro,0.025,53,0.06656735390424728,0.9408043380027112,0.00031202955869957805,0.0,0.0
mmlu-pro,0.025,54,0.06674071401357651,0.9439674649796657,0.0003151828423142433,0.0,0.0
mmlu-pro,0.025,55,0.06636067479848862,0.9426118391323995,0.00031348405173048377,0.0,0.0
mmlu-pro,0.025,56,0.06658785045146942,0.9426118391323995,0.0003158458275720477,0.0,0.0
mmlu-pro,0.025,57,0.066096231341362,0.9412562132851333,0.00030646359664388,0.0,0.0
mmlu-pro,0.025,58,0.06624317169189453,0.9421599638499775,0.00029850113787688315,0.0,0.0
mmlu-pro,0.025,59,0.06710269302129745,0.9417080885675554,0.00032312318217009306,0.0,0.0
mmlu-pro,0.025,60,0.06590532511472702,0.947582467239042,0.0003213965392205864,0.0,0.0
mmlu-pro,0.025,61,0.0665733814239502,0.9435155896972436,0.0003052878309972584,0.0,0.0
mmlu-pro,0.025,62,0.06661007553339005,0.9430637144148215,0.000316917517920956,0.0,0.0
mmlu-pro,0.025,63,0.06645011901855469,0.9394487121554451,0.0003119392495136708,0.0,0.0
mmlu-pro,0.025,64,0.06624886393547058,0.9335743334839585,0.0003310089523438364,0.0,0.0
mmlu-pro,0.025,65,0.06636504083871841,0.9417080885675554,0.0003022036689799279,0.0,0.0
mmlu-pro,0.025,66,0.06637337058782578,0.9399005874378672,0.0003134452272206545,0.0,0.0
mmlu-pro,0.025,67,0.06658848375082016,0.9448712155445097,0.0003054209519177675,0.0,0.0
mmlu-pro,0.025,68,0.06648296117782593,0.9349299593312246,0.0003201805811841041,0.0,0.0
mmlu-pro,0.025,69,0.06648945808410645,0.9403524627202893,0.00031879128073342144,0.0,0.0
mmlu-pro,0.025,70,0.06629352271556854,0.9435155896972436,0.0003088251396548003,0.0,0.0
mmlu-pro,0.025,71,0.06637954711914062,0.9299593312245821,0.00032417624606750906,0.0,0.0
mmlu-pro,0.025,72,0.066622294485569,0.9489380930863082,0.0002993372327182442,0.0,0.0
mmlu-pro,0.025,73,0.06636978685855865,0.9376412110257569,0.00031791478977538645,0.0,0.0
mmlu-pro,0.025,74,0.06654955446720123,0.9399005874378672,0.00031862332252785563,0.0,0.0
mmlu-pro,0.025,75,0.06639378517866135,0.9421599638499775,0.000309625145746395,0.0,0.0
mmlu-pro,0.025,76,0.06677024811506271,0.938996836873023,0.00031574504100717604,0.0,0.0
mmlu-pro,0.025,77,0.06659501045942307,0.9417080885675554,0.00030900255660526454,0.0,0.0
mmlu-pro,0.025,78,0.06601906567811966,0.9371893357433349,0.0003198516205884516,0.0,0.0
mmlu-pro,0.025,79,0.06648274511098862,0.9358337098960687,0.00033033150248229504,0.0,0.0
mmlu-pro,0.025,80,0.0664154663681984,0.938996836873023,0.00031037486041896045,0.0,0.0
mmlu-pro,0.025,81,0.066431425511837,0.9353818346136467,0.00031812870292924345,0.0,0.0
mmlu-pro,0.025,82,0.06616602092981339,0.9530049706281066,0.0002878722152672708,0.0,0.0
mmlu-pro,0.025,83,0.06638064980506897,0.9362855851784908,0.0003114317951258272,0.0,0.0
mmlu-pro,0.025,84,0.06628947705030441,0.938996836873023,0.00031874419073574245,0.0,0.0
mmlu-pro,0.025,85,0.06629758328199387,0.9317668323542703,0.0003217546036466956,0.0,0.0
mmlu-pro,0.025,86,0.0666041299700737,0.9412562132851333,0.0003059704031329602,0.0,0.0
mmlu-pro,0.025,87,0.0659467950463295,0.9344780840488026,0.0003071931714657694,0.0,0.0
mmlu-pro,0.025,88,0.0661185011267662,0.9426118391323995,0.0003117797605227679,0.0,0.0
mmlu-pro,0.025,89,0.06644344329833984,0.9430637144148215,0.00031354581005871296,0.0,0.0
mmlu-pro,0.025,90,0.06637204438447952,0.9367374604609128,0.0003161877684760839,0.0,0.0
mmlu-pro,0.025,91,0.06608118861913681,0.9417080885675554,0.0003080930910073221,0.0,0.0
mmlu-pro,0.025,92,0.06624654680490494,0.9385449615906011,0.0003124192589893937,0.0,0.0
mmlu-pro,0.025,93,0.06583854556083679,0.9367374604609128,0.0003198819176759571,0.0,0.0
mmlu-pro,0.025,94,0.06667643040418625,0.9417080885675554,0.0003171430726069957,0.0,0.0
mmlu-pro,0.025,95,0.0664174035191536,0.94713059195662,0.00030999165028333664,0.0,0.0
mmlu-pro,0.025,96,0.06609268486499786,0.938093086308179,0.00031436755671165884,0.0,0.0
mmlu-pro,0.025,97,0.06628396362066269,0.9511974694984184,0.000309997791191563,0.0,0.0
mmlu-pro,0.025,98,0.06657243520021439,0.9426118391323995,0.00031879707239568233,0.0,0.0
mmlu-pro,0.025,99,0.06601040810346603,0.9403524627202893,0.0003128413518425077,0.0,0.0
mmlu-pro,0.05,0,0.04188093543052673,0.9498418436511523,0.00011922507110284641,0.0,0.0
mmlu-pro,0.05,1,0.041686560958623886,0.9344780840488026,0.00013434080756269395,0.0,0.0
mmlu-pro,0.05,2,0.04211590439081192,0.9358337098960687,0.0001344399352092296,0.0,0.0
mmlu-pro,0.05,3,0.041638683527708054,0.9453230908269318,0.0001308018108829856,0.0,0.0
mmlu-pro,0.05,4,0.04178042337298393,0.9408043380027112,0.00013517965271603316,0.0,0.0
mmlu-pro,0.05,5,0.04174484312534332,0.9502937189335744,0.00012382770364638418,0.0,0.0
mmlu-pro,0.05,6,0.041429005563259125,0.9457749661093539,0.0001255000097444281,0.0,0.0
mmlu-pro,0.05,7,0.04173210635781288,0.947582467239042,0.00012248476559761912,0.0,0.0
mmlu-pro,0.05,8,0.04196066036820412,0.9394487121554451,0.00013786426279693842,0.0,0.0
mmlu-pro,0.05,9,0.04194074869155884,0.9408043380027112,0.00013569316070061177,0.0,0.0
mmlu-pro,0.05,10,0.04178483039140701,0.946678716674198,0.0001220377889694646,0.0,0.0
mmlu-pro,0.05,11,0.0420805960893631,0.9335743334839585,0.0001407728559570387,0.0,0.0
mmlu-pro,0.05,12,0.04160206392407417,0.9435155896972436,0.00012630911078304052,0.0,0.0
mmlu-pro,0.05,13,0.04181987792253494,0.9367374604609128,0.00013274555385578424,0.0,0.0
